Pos,GoalsCreated,GPerGame,APerGame,PtsPerGame,GoalsCreatedPerGame,SOGPerGameAdjusted,GAdjusted,AAdjusted,PtsAdjusted,GCAdjusted,TotGF,TotPPGF,TotGA,TotPPGA,PlusMin,XGF,XGA,XPlusMin,OPS,DPS,TotPS,ShootoutMiss,UID,season
RW,6,0.1,0.1,0.2,0.08,1.65,7,7,14,6,31,9,21,0,1,29.6,20.6,8.9,0.0,1.0,1.0,,ritchbr01,17-18
C,10,0.19,0.14,0.33,0.15,1.74,13,10,23,10,44,17,42,6,-9,31.1,27.0,4.0,1.2,0.7,2.0,2.0,boylebr01,17-18
D,6,0.06,0.16,0.23,0.08,1.28,5,13,18,6,64,0,95,25,-5,65.2,58.3,6.9,0.3,3.0,3.3,,dumoubr01,17-18
C,11,0.2,0.24,0.44,0.18,1.22,12,14,26,10,35,0,40,14,10,25.1,26.5,-1.4,1.6,1.4,3.0,2.0,gibbobr02,17-18
RW,2,0.1,0.25,0.35,0.12,2.1,2,5,7,2,11,7,5,0,-1,8.3,6.6,1.8,0.2,0.3,0.5,,giontbr01,17-18
D,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.1,0.3,-0.1,0.0,0.0,0.0,,lashobr01,17-18
RW,23,0.47,0.42,0.89,0.37,2.89,30,26,56,23,76,30,51,0,-5,37.9,39.3,-1.3,5.6,1.2,6.8,1.0,boesebr01,17-18
LW,12,0.2,0.18,0.38,0.15,1.99,16,14,30,13,43,3,64,13,-12,41.5,41.7,-0.2,1.4,1.0,2.5,1.0,mcginbr01,17-18
C,14,0.23,0.2,0.43,0.18,1.68,20,16,36,15,53,13,51,7,-4,36.2,46.6,-10.5,2.1,0.9,3.0,0.0,nelsobr01,17-18
C,0,0.0,0.08,0.08,0.02,0.83,0,1,1,0,2,0,7,0,-5,3.2,6.8,-3.6,-0.3,0.0,-0.3,,laichbr01,17-18
D,3,0.0,0.12,0.12,0.03,0.67,0,10,10,3,44,0,82,28,-9,40.4,58.1,-17.7,-0.9,2.3,1.3,,orpikbr01,17-18
