Pos,GoalsCreated,GPerGame,APerGame,PtsPerGame,GoalsCreatedPerGame,SOGPerGameAdjusted,GAdjusted,AAdjusted,PtsAdjusted,GCAdjusted,TotGF,TotPPGF,TotGA,TotPPGA,PlusMin,XGF,XGA,XPlusMin,OPS,DPS,TotPS,ShootoutMiss,UID,season
C,10,0.13,0.2,0.33,0.13,1.34,10,16,26,10,52,3,53,17,13,35.3,39.4,-4.2,0.3,1.9,2.1,1.0,jarnkca01,18-19
D,1,0.25,0.0,0.25,0.14,1.25,1,0,1,1,4,0,8,1,-3,3.4,2.9,0.5,0.1,-0.1,0.0,,rosenca01,18-19
D,4,0.01,0.18,0.19,0.06,1.38,1,13,14,4,49,1,68,21,1,52.7,45.5,7.1,-0.1,3.2,3.1,,dehaaca01,18-19
RW,30,0.51,0.35,0.86,0.38,3.69,41,28,69,30,101,19,85,5,3,58.9,54.8,4.2,7.0,1.8,8.8,1.0,atkinca01,18-19
D,8,0.08,0.31,0.39,0.13,1.49,5,18,23,8,58,18,62,8,-14,40.1,54.0,-13.9,1.2,2.5,3.6,,fowleca01,18-19
D,0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,3,0,0,0,3,1.3,1.4,-0.1,0.0,0.3,0.2,,gauncca01,18-19
D,0,0.0,0.25,0.25,0.07,0.5,0,1,1,0,2,0,3,1,0,1.6,2.2,-0.5,0.0,0.1,0.1,,schilca01,18-19
D,2,0.0,0.16,0.16,0.04,1.11,0,6,6,2,41,0,42,10,9,27.2,34.0,-6.9,-0.3,1.7,1.5,,dahlsca01,18-19
RW,3,0.33,0.07,0.4,0.2,1.73,5,1,6,3,9,2,11,0,-4,7.7,7.8,0.0,0.5,0.2,0.6,,grundca01,18-19
D,3,0.12,0.16,0.28,0.11,0.84,3,4,7,3,24,0,22,6,8,17.7,13.3,4.4,0.5,1.5,2.0,,gunnaca01,18-19
LW,6,0.09,0.24,0.33,0.11,1.71,5,14,19,7,37,0,42,12,7,31.2,27.7,3.5,0.0,1.2,1.2,,hagelca01,18-19
C,20,0.28,0.32,0.6,0.24,2.29,23,26,49,20,70,14,83,22,-5,47.9,44.6,3.3,3.3,1.4,4.7,0.0,soderca01,18-19
RW,7,0.11,0.21,0.32,0.12,0.85,7,13,20,7,22,0,30,8,0,23.3,29.9,-6.6,0.6,1.1,1.6,,rowneca01,18-19
C,14,0.27,0.18,0.45,0.2,1.52,20,13,33,14,44,0,45,23,22,33.6,30.0,3.6,2.5,2.1,4.6,,cizikca01,18-19
C,10,0.16,0.17,0.32,0.13,1.53,12,13,25,10,47,15,51,0,-19,34.0,42.1,-8.2,0.8,0.6,1.4,3.0,mitteca01,18-19
D,2,0.03,0.13,0.16,0.05,0.97,1,5,6,2,21,0,25,5,1,19.7,20.6,-1.0,0.0,1.6,1.6,,nelsoca01,18-19
C,8,0.16,0.05,0.21,0.1,1.09,13,4,17,8,35,0,43,14,7,29.0,30.8,-1.8,0.3,1.1,1.4,,paquece01,18-19
D,1,0.06,0.06,0.11,0.05,1.22,1,1,2,1,6,0,19,4,-9,10.9,9.8,1.1,-0.1,-0.2,-0.3,,ruhwech01,18-19
C,4,0.08,0.09,0.17,0.07,0.56,5,6,11,4,15,0,40,11,-13,20.2,27.9,-7.6,-0.6,0.2,-0.4,,stephch02,18-19
LW,2,0.09,0.06,0.16,0.07,1.56,3,2,5,2,11,2,17,0,-9,12.7,13.6,-0.9,-0.2,0.0,-0.2,,hudonch01,18-19
C/RW,12,0.15,0.27,0.42,0.15,1.91,12,22,34,13,65,16,63,13,-1,45.9,39.6,6.3,0.8,1.8,2.7,,coylech01,18-19
